2025/10/09 22:10:01.526960 [INFO] Log Publish not set, skipping...
2025/10/09 22:30:01.566924 [INFO] Log Publish not set, skipping...
2025/10/09 22:50:01.625320 [INFO] Log Publish not set, skipping...
2025/10/09 23:10:02.027545 [INFO] Log Publish not set, skipping...
2025/10/09 23:30:01.046587 [INFO] Log Publish not set, skipping...
2025/10/09 23:50:01.062227 [INFO] Log Publish not set, skipping...
2025/10/10 00:10:01.258262 [INFO] Log Publish not set, skipping...
2025/10/10 00:30:01.289412 [INFO] Log Publish not set, skipping...
2025/10/10 00:50:01.320416 [INFO] Log Publish not set, skipping...
2025/10/10 01:10:01.287067 [INFO] Log Publish not set, skipping...
2025/10/10 01:30:01.307666 [INFO] Log Publish not set, skipping...
2025/10/10 01:50:01.334333 [INFO] Log Publish not set, skipping...
2025/10/10 02:10:01.807580 [INFO] Log Publish not set, skipping...
2025/10/10 02:30:01.929963 [INFO] Log Publish not set, skipping...
2025/10/10 02:50:01.987668 [INFO] Log Publish not set, skipping...
2025/10/10 03:10:01.430877 [INFO] Log Publish not set, skipping...
2025/10/10 03:30:01.479632 [INFO] Log Publish not set, skipping...
2025/10/10 03:50:01.552680 [INFO] Log Publish not set, skipping...
2025/10/10 04:10:01.791094 [INFO] Log Publish not set, skipping...
2025/10/10 04:30:01.821975 [INFO] Log Publish not set, skipping...
2025/10/10 04:50:01.875925 [INFO] Log Publish not set, skipping...
2025/10/10 05:10:01.293760 [INFO] Log Publish not set, skipping...
2025/10/10 05:30:01.331651 [INFO] Log Publish not set, skipping...
2025/10/10 05:50:01.430208 [INFO] Log Publish not set, skipping...
2025/10/10 06:10:01.777741 [INFO] Log Publish not set, skipping...
2025/10/10 06:30:01.812097 [INFO] Log Publish not set, skipping...
2025/10/10 06:50:01.843759 [INFO] Log Publish not set, skipping...
2025/10/10 07:10:01.202128 [INFO] Log Publish not set, skipping...
2025/10/10 07:30:01.259639 [INFO] Log Publish not set, skipping...
2025/10/10 07:50:01.311094 [INFO] Log Publish not set, skipping...
2025/10/10 08:10:01.755233 [INFO] Log Publish not set, skipping...
2025/10/10 08:30:01.808805 [INFO] Log Publish not set, skipping...
2025/10/10 08:50:01.859680 [INFO] Log Publish not set, skipping...
2025/10/10 09:10:01.072345 [INFO] Log Publish not set, skipping...
2025/10/10 09:30:01.091328 [INFO] Log Publish not set, skipping...
2025/10/10 09:50:01.108490 [INFO] Log Publish not set, skipping...
2025/10/10 10:10:01.449836 [INFO] Log Publish not set, skipping...
2025/10/10 10:30:01.492566 [INFO] Log Publish not set, skipping...
2025/10/10 10:50:01.555464 [INFO] Log Publish not set, skipping...
2025/10/10 11:10:01.063694 [INFO] Log Publish not set, skipping...
2025/10/10 11:30:01.096733 [INFO] Log Publish not set, skipping...
2025/10/10 11:50:01.140380 [INFO] Log Publish not set, skipping...
2025/10/10 12:10:01.582556 [INFO] Log Publish not set, skipping...
2025/10/10 12:30:01.615142 [INFO] Log Publish not set, skipping...
2025/10/10 12:50:01.657103 [INFO] Log Publish not set, skipping...
2025/10/10 13:10:01.917558 [INFO] Log Publish not set, skipping...
2025/10/10 13:30:01.962452 [INFO] Log Publish not set, skipping...
2025/10/10 13:50:02.006367 [INFO] Log Publish not set, skipping...
2025/10/10 14:10:01.129807 [INFO] Log Publish not set, skipping...
2025/10/10 14:30:01.163349 [INFO] Log Publish not set, skipping...
2025/10/10 14:50:01.198340 [INFO] Log Publish not set, skipping...
2025/10/10 15:10:01.634075 [INFO] Log Publish not set, skipping...
2025/10/10 15:30:01.676910 [INFO] Log Publish not set, skipping...
2025/10/10 15:50:01.728716 [INFO] Log Publish not set, skipping...
2025/10/10 16:10:02.033616 [INFO] Log Publish not set, skipping...
2025/10/10 16:30:01.058544 [INFO] Log Publish not set, skipping...
2025/10/10 16:50:01.076658 [INFO] Log Publish not set, skipping...
2025/10/10 17:10:01.239035 [INFO] Log Publish not set, skipping...
2025/10/10 17:30:01.266334 [INFO] Log Publish not set, skipping...
2025/10/10 17:50:01.298208 [INFO] Log Publish not set, skipping...
2025/10/10 18:10:01.856141 [INFO] Log Publish not set, skipping...
2025/10/10 18:30:01.901165 [INFO] Log Publish not set, skipping...
2025/10/10 18:50:01.966799 [INFO] Log Publish not set, skipping...
2025/10/10 19:10:01.230517 [INFO] Log Publish not set, skipping...
2025/10/10 19:30:01.251922 [INFO] Log Publish not set, skipping...
2025/10/10 19:50:01.283845 [INFO] Log Publish not set, skipping...
2025/10/10 20:10:01.827524 [INFO] Log Publish not set, skipping...
2025/10/10 20:30:01.856382 [INFO] Log Publish not set, skipping...
2025/10/10 20:50:01.884601 [INFO] Log Publish not set, skipping...
2025/10/10 21:10:01.270657 [INFO] Log Publish not set, skipping...
2025/10/10 21:30:01.298683 [INFO] Log Publish not set, skipping...
2025/10/10 21:50:01.332380 [INFO] Log Publish not set, skipping...
2025/10/10 22:10:01.770261 [INFO] Log Publish not set, skipping...
2025/10/10 22:30:01.826855 [INFO] Log Publish not set, skipping...
2025/10/10 22:50:01.873219 [INFO] Log Publish not set, skipping...
2025/10/10 23:10:01.335538 [INFO] Log Publish not set, skipping...
2025/10/10 23:30:01.394666 [INFO] Log Publish not set, skipping...
2025/10/10 23:50:01.426653 [INFO] Log Publish not set, skipping...
2025/10/11 00:10:01.022764 [INFO] Log Publish not set, skipping...
2025/10/11 00:30:01.045665 [INFO] Log Publish not set, skipping...
2025/10/11 00:50:01.071769 [INFO] Log Publish not set, skipping...
2025/10/11 01:10:01.239032 [INFO] Log Publish not set, skipping...
2025/10/11 01:30:01.271925 [INFO] Log Publish not set, skipping...
2025/10/11 01:50:01.317474 [INFO] Log Publish not set, skipping...
2025/10/11 02:10:01.328788 [INFO] Log Publish not set, skipping...
2025/10/11 02:30:01.361047 [INFO] Log Publish not set, skipping...
2025/10/11 02:50:01.410260 [INFO] Log Publish not set, skipping...
2025/10/11 03:10:01.921299 [INFO] Log Publish not set, skipping...
